Name,Suggested Price,Min Price,Max Price,Currency,Item Page                     
Sealed Graffiti | Chess King (War Pig Pink),0.03,0.02,0.03,EUR,https://skinport.com/item/sealed-graffiti-chess-king-war-pig-pink
Sealed Graffiti | Chess King (Wire Blue),0.03,0.02,0.6,EUR,https://skinport.com/item/sealed-graffiti-chess-king-wire-blue
Sealed Graffiti | Cocky (Battle Green),0.03,0.02,0.03,EUR,https://skinport.com/item/sealed-graffiti-cocky-battle-green
Sealed Graffiti | Cocky (Bazooka Pink),0.03,0.02,0.05,EUR,https://skinport.com/item/sealed-graffiti-cocky-bazooka-pink
Sealed Graffiti | Cocky (Blood Red),0.03,0.02,0.04,EUR,https://skinport.com/item/sealed-graffiti-cocky-blood-red
Sealed Graffiti | Cocky (Brick Red),0.03,0.02,0.03,EUR,https://skinport.com/item/sealed-graffiti-cocky-brick-red
Sealed Graffiti | Cocky (Cash Green),0.03,0.02,0.05,EUR,https://skinport.com/item/sealed-graffiti-cocky-cash-green
Sealed Graffiti | Cocky (Desert Amber),0.03,0.02,0.03,EUR,https://skinport.com/item/sealed-graffiti-cocky-desert-amber
Sealed Graffiti | Cocky (Dust Brown),0.03,0.02,0.03,EUR,https://skinport.com/item/sealed-graffiti-cocky-dust-brown
Sealed Graffiti | Cocky (Frog Green),0.03,0.02,0.09,EUR,https://skinport.com/item/sealed-graffiti-cocky-frog-green
Sealed Graffiti | Cocky (Jungle Green),0.03,0.02,0.09,EUR,https://skinport.com/item/sealed-graffiti-cocky-jungle-green
Sealed Graffiti | Cocky (Monarch Blue),0.03,0.02,0.03,EUR,https://skinport.com/item/sealed-graffiti-cocky-monarch-blue
Sealed Graffiti | Cocky (Monster Purple),0.03,0.02,0.07,EUR,https://skinport.com/item/sealed-graffiti-cocky-monster-purple
Sealed Graffiti | Cocky (Princess Pink),0.03,0.02,0.03,EUR,https://skinport.com/item/sealed-graffiti-cocky-princess-pink
Sealed Graffiti | Cocky (Shark White),0.03,0.02,0.04,EUR,https://skinport.com/item/sealed-graffiti-cocky-shark-white
Sealed Graffiti | Cocky (SWAT Blue),0.03,0.02,0.04,EUR,https://skinport.com/item/sealed-graffiti-cocky-swat-blue
Sealed Graffiti | Cocky (Tiger Orange),0.03,0.02,0.08,EUR,https://skinport.com/item/sealed-graffiti-cocky-tiger-orange
Sealed Graffiti | Cocky (Tracer Yellow),0.03,0.02,0.6,EUR,https://skinport.com/item/sealed-graffiti-cocky-tracer-yellow
Sealed Graffiti | Cocky (Violent Violet),0.03,0.02,0.04,EUR,https://skinport.com/item/sealed-graffiti-cocky-violent-violet
Sealed Graffiti | Cocky (War Pig Pink),0.03,0.02,0.03,EUR,https://skinport.com/item/sealed-graffiti-cocky-war-pig-pink
Sealed Graffiti | Cocky (Wire Blue),0.03,0.02,0.08,EUR,https://skinport.com/item/sealed-graffiti-cocky-wire-blue
Sealed Graffiti | Death Sentence (Battle Green),0.03,0.02,0.04,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-battle-green
Sealed Graffiti | Death Sentence (Bazooka Pink),0.03,0.02,0.04,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-bazooka-pink
Sealed Graffiti | Death Sentence (Blood Red),0.03,0.02,0.09,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-blood-red
Sealed Graffiti | Death Sentence (Brick Red),0.03,0.02,0.08,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-brick-red
Sealed Graffiti | Death Sentence (Cash Green),0.03,0.02,0.05,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-cash-green
Sealed Graffiti | Death Sentence (Desert Amber),0.03,0.02,0.6,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-desert-amber
Sealed Graffiti | Death Sentence (Dust Brown),0.03,0.02,1.5,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-dust-brown
Sealed Graffiti | Death Sentence (Frog Green),0.03,0.02,0.04,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-frog-green
Sealed Graffiti | Death Sentence (Jungle Green),0.03,0.02,0.04,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-jungle-green
Sealed Graffiti | Death Sentence (Monarch Blue),0.03,0.02,0.09,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-monarch-blue
Sealed Graffiti | Death Sentence (Monster Purple),0.03,0.02,0.09,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-monster-purple
Sealed Graffiti | Death Sentence (Princess Pink),0.03,0.02,0.09,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-princess-pink
Sealed Graffiti | Death Sentence (Shark White),0.03,0.02,0.03,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-shark-white
Sealed Graffiti | Death Sentence (SWAT Blue),0.03,0.02,0.06,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-swat-blue
Sealed Graffiti | Death Sentence (Tiger Orange),0.03,0.02,0.04,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-tiger-orange
Sealed Graffiti | Death Sentence (Tracer Yellow),0.03,0.02,0.03,EUR,https://skinport.com/item/sealed-graffiti-death-sentence-tracer-yellow
